,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88721,2022,서울특별시 강남구 대치동,EV6,전기
88722,2022,서울특별시 동작구 상도동,Model 3 Long Range,전기
88723,2022,서울특별시 동작구 상도동,CHEVROLET BOLT EV,전기
88724,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88725,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88726,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88727,2022,서울특별시 강남구 대치동,EV6,전기
88728,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88729,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88730,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88731,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88732,2022,서울특별시 강남구 대치동,EV6,전기
88733,2022,서울특별시 강남구 대치동,니로 EV,전기
88734,2022,서울특별시 강남구 대치동,니로 EV,전기
88735,2022,서울특별시 강남구 대치동,EV6,전기
88736,2022,서울특별시 강남구 대치동,EV6,전기
88737,2022,서울특별시 강남구 대치동,EV6,전기
88738,2022,서울특별시 강남구 대치동,EV6,전기
88739,2022,서울특별시 강남구 대치동,EV6,전기
88740,2022,서울특별시 강남구 대치동,니로 EV,전기
88741,2022,서울특별시 강남구 대치동,니로 EV,전기
88742,2022,서울특별시 강남구 대치동,니로 EV,전기
88743,2022,서울특별시 강남구 대치동,니로 EV,전기
88744,2022,서울특별시 강남구 대치동,니로 EV,전기
88745,2022,서울특별시 강남구 대치동,EV6,전기
88746,2022,서울특별시 강남구 대치동,니로 EV,전기
88747,2022,서울특별시 강남구 대치동,EV6,전기
88748,2022,서울특별시 강남구 대치동,EV6,전기
88749,2022,서울특별시 강남구 대치동,EV6,전기
88750,2022,서울특별시 강남구 대치동,EV6,전기
88751,2022,서울특별시 강남구 대치동,EV6,전기
88752,2022,서울특별시 강남구 대치동,니로 EV,전기
88753,2022,서울특별시 강남구 대치동,니로 EV,전기
88754,2022,서울특별시 강남구 대치동,EV6,전기
88755,2022,서울특별시 강남구 대치동,EV6,전기
88756,2022,서울특별시 강남구 대치동,니로 EV,전기
88757,2022,서울특별시 강남구 대치동,니로 EV,전기
88758,2022,서울특별시 강남구 대치동,EV6,전기
88759,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88760,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88761,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88762,2022,서울특별시 강남구 대치동,EV6,전기
88763,2022,서울특별시 강남구 대치동,EV6,전기
88764,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88765,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88766,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
